Timestep,State,Current RUL,Cummulative Reward
731,0,[0.02624055],64500
732,0,[0.03135799],65500
733,0,[0.04297772],66500
734,0,[0.02411498],67500
735,1,[0.06818932],68400
736,1,[0.01358984],69300
737,1,[0.03168101],70200
738,2,[0.04102493],71000
739,3,[0.13285653],71500
740,7,[0.13285653],71000
741,2,[0.03345986],71800
742,3,[0.10115087],72300
743,7,[0.10115087],71800
744,7,[0.10115087],71300
745,7,[0.10115087],70800
746,7,[0.10115087],70300
747,7,[0.10115087],69800
748,2,[0.01782836],70600
749,2,[0.0219838],71400
750,2,[0.08665658],72200
751,6,[0.08665658],71700
752,1,[0.03243361],72600
753,2,[0.02279573],73400
754,2,[0.15508239],74200
755,6,[0.15508239],73700
756,1,[0.0161711],74600
757,1,[0.01959856],75500
758,1,[0.03836788],76400
759,2,[0.03578323],77200
760,2,[0.01914182],78000
761,3,[0.01853137],78500
762,3,[0.11021997],79000
763,7,[0.11021997],78500
764,7,[0.11021997],78000
765,2,[0.01939585],78800
766,2,[0.00670948],79600
767,3,[0.12126169],80100
768,7,[0.12126169],79600
769,2,[0.02570347],80400
770,3,[0.02568501],80900
771,3,[0.0346472],81400
772,3,[0.01351858],81900
773,8,[0.12740522],78900
774,8,[0.16376237],75900
775,8,[0.14923825],72900
776,8,[0.15514841],69900
777,0,[0.05031898],70900
778,1,[0.0271887],71800
779,1,[0.02901537],72700
780,1,[0.01368979],73600
781,1,[0.01878857],74500
782,2,[0.03992397],75300
783,3,[0.09165527],75800
784,7,[0.09165527],75300
785,7,[0.09165527],74800
786,7,[0.09165527],74300
787,2,[0.02161209],75100
788,2,[0.02486012],75900
789,3,[0.11188904],76400
790,7,[0.11188904],75900
791,2,[0.02855355],76700
792,2,[0.02726629],77500
793,3,[0.17748242],78000
794,7,[0.17748242],77500
795,7,[0.17748242],77000
796,7,[0.17748242],76500
797,2,[0.02708266],77300
798,2,[0.03397076],78100
799,2,[0.02950105],78900
800,2,[0.04356334],79700
801,2,[0.02945578],80500
802,2,[0.03230948],81300
803,3,[0.01771993],81800
804,3,[0.14669617],82300
805,7,[0.14669617],81800
806,7,[0.14669617],81300
807,2,[0.03885356],82100
808,2,[0.01763031],82900
809,2,[0.04443393],83700
810,2,[0.03991083],84500
811,2,[0.03618967],85300
812,2,[0.02384618],86100
813,2,[0.01055848],86900
814,3,[0.02095538],87400
815,3,[0.03067113],87900
816,3,[0.03360529],88400
817,3,[0.13363864],88900
818,7,[0.13363864],88400
819,2,[0.01994182],89200
820,2,[0.02548613],90000
821,3,[0.02515418],90500
822,3,[0.09101767],91000
823,7,[0.09101767],90500
824,7,[0.09101767],90000
825,2,[0.03930823],90800
826,2,[0.0455746],91600
827,3,[0.1719812],92100
828,7,[0.1719812],91600
829,7,[0.1719812],91100
830,2,[0.02320101],91900
831,2,[0.01800247],92700
832,2,[0.03448148],93500
833,3,[0.03797927],94000
834,3,[0.14635094],94500
835,7,[0.14635094],94000
836,2,[0.01637106],94800
837,2,[0.02704517],95600
838,2,[0.01965229],96400
839,2,[0.02894452],97200
840,2,[0.02209754],98000
841,2,[0.0369271],98800
842,2,[0.05158216],99600
843,2,[0.04013138],100400
844,2,[0.03712128],101200
845,2,[0.02149966],102000
846,3,[0.0230805],102500
847,3,[0.0364606],103000
848,3,[0.01728807],103500
849,3,[0.02459978],104000
850,3,[0.03491888],104500
851,8,[0.10516663],101500
852,0,[0.02568965],102500
853,0,[0.03697884],103500
854,1,[0.03227521],104400
855,1,[0.01650396],105300
856,1,[0.04718834],106200
857,1,[0.03334772],107100
858,2,[0.01635674],107900
859,3,[0.03133361],108400
860,8,[0.16278509],105400
861,8,[0.20629322],102400
862,0,[0.02735154],103400
863,1,[0.0196386],104300
864,1,[0.02124986],105200
865,1,[0.019186],106100
866,1,[0.02048982],107000
867,1,[0.01161336],107900
868,1,[0.03682222],108800
